x_title,cat_list,cat_list_index
data director,"['it', 'database']","[2, 136]"
data engineer,"['it', 'programming & development', 'database', 'data warehousing & bi']","[2, 65, 136, 176]"
data engineer (aws),"['it', 'programming & development']","[2, 65]"
data entry,"['office & administration', 'administration', 'data entry']","[30, 31, 146]"
data entry (part time),"['office & administration', 'data entry']","[30, 146]"
data entry /computer person,"['office & administration', 'data entry']","[30, 146]"
data entry administrator,"['office & administration', 'administration']","[30, 31]"
data entry administrator - expressions of interest,"['office & administration', 'data entry']","[30, 146]"
data entry administrator - temp assignment,"['office & administration', 'data entry']","[30, 146]"
data entry administrator position,"['office & administration', 'data entry']","[30, 146]"
data entry administrators,"['office & administration', 'data entry']","[30, 146]"
data entry clerk,"['office & administration', 'data entry']","[30, 146]"
data entry officer,"['office & administration', 'administration', 'data entry']","[30, 31, 146]"
data entry operator,"['office & administration', 'data entry']","[30, 146]"
data entry specialist,"['office & administration', 'data entry']","[30, 146]"
data entry | wellington,"['office & administration', 'data entry']","[30, 146]"
data entry/admin,"['office & administration', 'data entry']","[30, 146]"
data entry/office administration,"['office & administration', 'data entry']","[30, 146]"
data entry/office administrator,"['office & administration', 'data entry']","[30, 146]"
data evangelist,"['it', 'programming & development']","[2, 65]"
data integrity manager (warkworth),"['retail', 'merchandising']","[71, 102]"
data intelligence consultant,"['it', 'data warehousing & bi']","[2, 176]"
data lead,"['it', 'management']","[2, 39]"
data management coordinator - facilities,"['healthcare', 'administration']","[22, 31]"
data manager,"['it', 'management']","[2, 39]"
data modeller,"['it', 'data warehousing & bi']","[2, 176]"
data network specialist,"['it', 'service desk']","[2, 45]"
data product manager,"['marketing, media & communications', 'market research & analysis']","[40, 162]"
data quality analyst,"['it', 'business & systems analysts']","[2, 7]"
data science chapter member,"['it', 'data warehousing & bi']","[2, 176]"
data scientist,"['it', 'programming & development', 'science & technology']","[2, 65, 97]"
data scientist - scion,['science & technology'],[97]
data support analyst,"['it', 'business & systems analysts']","[2, 7]"
data technician,"['it', 'telecommunications']","[2, 117]"
data transport specialist,"['it', 'programming & development']","[2, 65]"
data visualization specialist,"['it', 'programming & development']","[2, 65]"
data warehouse architect,"['it', 'architects']","[2, 17]"
data warehouse developer,"['it', 'programming & development']","[2, 65]"
data/communications technician - new plymouth,"['it', 'telecommunications']","[2, 117]"
data/ict technician - foreman potential,"['trades & services', 'technicians']","[0, 6]"
data/ict technician - foreman potential wanaka,"['trades & services', 'technicians']","[0, 6]"
database admin person,"['agriculture, fishing & forestry', 'horticulture']","[34, 63]"
database administrator,"['office & administration', 'administration', 'it', 'database']","[30, 31, 2, 136]"
database administrator (dba),"['it', 'database']","[2, 136]"
database administrator - part or full time,"['it', 'database']","[2, 136]"
database analyst,"['it', 'database']","[2, 136]"
database and bi developer - 6 month fixed term - w,"['it', 'programming & development']","[2, 65]"
database developer,"['it', 'programming & development', 'database']","[2, 65, 136]"
database engineer - mysql,"['it', 'systems engineers']","[2, 124]"
day patrol supervisor - wellington,"['trades & services', 'security']","[0, 56]"
day programme support worker | enliven waikato,"['healthcare', 'caregiving']","[22, 23]"
day programme support worker | whakatane,"['healthcare', 'caregiving']","[22, 23]"
day shift forecourt attendant/ customer service,"['retail', 'retail assistants']","[71, 72]"
day shift pick packer,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
day shift warehouse workers wanted,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
day spa therapist,"['trades & services', 'beautician']","[0, 179]"
day/night shift hotmix,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
dayshift devanners 10x positions,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
dayshift fish cutters,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
dayshift fish packers,"['manufacturing & operations', 'fitters & machining']","[20, 170]"
dba - database administrator,"['it', 'database']","[2, 136]"
dc administrator [jay raol],"['office & administration', 'administration']","[30, 31]"
dealer principal,"['sales', 'sales managers']","[57, 58]"
dealer principal- agricultural machinery,"['sales', 'sales managers']","[57, 58]"
dealership & vehicle cleaner,"['trades & services', 'cleaning']","[0, 86]"
dealership manager - masterton,"['retail', 'management']","[71, 39]"
debt officer,"['customer service', 'call centre']","[54, 55]"
deck and fence builders,"['construction & roading', 'labouring']","[8, 66]"
"deck hand, fishing trawler","['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deckhands,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deep cleaning technician,"['trades & services', 'cleaning']","[0, 86]"
deep sea fishing crew,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deep sea fishing crew - 6 month rotations,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deep sea fishing crew opportunities,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deep sea fishing crew opportunities - bosun,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deep sea fishing crew opportunity - 2nd mate,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deep sea fishing factory hands,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deepsea fishing crew candidates,"['agriculture, fishing & forestry', 'fishing']","[34, 156]"
deli / cabinet chef,"['hospitality & tourism', 'chefs']","[14, 15]"
deli / seafood assistant,"['retail', 'retail assistants']","[71, 72]"
deli assistant,"['retail', 'retail assistants']","[71, 72]"
deli assistant - new world waimate,"['retail', 'retail assistants']","[71, 72]"
"deli assistant - part time, stoke - nelson","['retail', 'retail assistants']","[71, 72]"
deli kitchen position,"['retail', 'retail assistants']","[71, 72]"
"deli manager - full time, the valley, new plymouth","['retail', 'department managers']","[71, 142]"
deli manager - new world wanganui,"['retail', 'department managers']","[71, 142]"
"deli manager, full time - rangitikei st","['retail', 'management']","[71, 39]"
"deli manager, full time - waiheke","['retail', 'management']","[71, 39]"
"deli manager, full time, silverdale","['retail', 'department managers']","[71, 142]"
deli/seafood assistant,"['retail', 'retail assistants']","[71, 72]"
delicatessen assistant - new world kaiapoi,"['retail', 'retail assistants']","[71, 72]"
delicatessen assistant - part time,"['retail', 'retail assistants']","[71, 72]"
delicatessen retail shop assistant,"['retail', 'retail assistants']","[71, 72]"
deliver driver minimum requirement class 4 licence,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
delivery agent,"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
delivery agent - fixed term,"['customer service', 'customer-facing']","[54, 105]"
delivery agent - motorcycle,"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
delivery assessor,"['trades & services', 'electrical']","[0, 13]"
delivery director,"['it', 'project management']","[2, 48]"
delivery driver,"['transport & logistics', 'drivers & couriers', 'truck ht', 'warehouse & distribution', 'customer service', 'customer-facing', 'couriers']","[28, 43, 44, 81, 54, 105, 133]"
delivery driver & warehouse assistant-kapiti coast,"['automotive', 'sales, operations & parts']","[59, 74]"
"delivery driver (fixed-term), stratford","['customer service', 'customer-facing']","[54, 105]"
delivery driver (van),"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
delivery driver - botany,"['automotive', 'sales, operations & parts']","[59, 74]"
delivery driver - class 2,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
delivery driver - penrose,"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
delivery driver - plumbing & bathrooms,"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
delivery driver / yardperson / sales,"['transport & logistics', 'operations']","[28, 29]"
delivery driver with customer service skills,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
delivery driver-runner - class 1 and 2,"['transport & logistics', 'operations']","[28, 29]"
delivery driver/assembler,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
delivery driver/factory team member,"['manufacturing & operations', 'machine operation']","[20, 21]"
delivery drivers,"['transport & logistics', 'drivers & couriers', 'truck ht', 'couriers']","[28, 43, 44, 133]"
delivery drivers (kfc + pizza hut) - west akl,"['retail', 'retail assistants']","[71, 72]"
delivery drivers - palmerston north region,"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
delivery drivers - porirua region,"['transport & logistics', 'drivers & couriers', 'couriers']","[28, 43, 133]"
delivery drivers – class 2 and 4,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
delivery enablement specialist,"['it', 'management']","[2, 39]"
delivery lead,"['it', 'management']","[2, 39]"
delivery lead - customer channels platform,"['it', 'management']","[2, 39]"
delivery manager,"['it', 'management', 'project management']","[2, 39, 48]"
delivery manager - eastside,"['it', 'management']","[2, 39]"
delivery partner - uber eats,"['hospitality & tourism', 'waiting staff']","[14, 95]"
delivery services planner,"['transport & logistics', 'operations']","[28, 29]"
delivery services team leader - aluminium joinery,"['transport & logistics', 'operations']","[28, 29]"
delivery supervisor - hawkes bay,"['construction & roading', 'project & contracts management']","[8, 101]"
delivery technician,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
delivery truck driver / farm assistant,"['agriculture, fishing & forestry', 'horticulture']","[34, 63]"
deloitte - audit & assurance 2021 graduate |...,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
deloitte - corporate finance 2020/2021 summer...,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
deloitte - tax 2021 graduate | wellington,"['accounting', 'accountants', 'assistant accountants']","[10, 11, 149]"
dementia advisor - lower hutt,"['healthcare', 'community & social services']","[22, 27]"
demi chef de partie,"['hospitality & tourism', 'chefs']","[14, 15]"
"demi, commis, prep chef, kitchen hand","['hospitality & tourism', 'chefs']","[14, 15]"
demolition labour - lyall bay,"['trades & services', 'labourers']","[0, 1]"
demolition labourer,"['trades & services', 'labourers']","[0, 1]"
demolition labourer needed for immediate start!,"['trades & services', 'labourers']","[0, 1]"
demolition labourers - central auckland,"['construction & roading', 'labouring']","[8, 66]"
dental and oral health therapists - new graduate,"['healthcare', 'dentistry']","[22, 106]"
dental assistant,"['healthcare', 'dentistry']","[22, 106]"
dental assistant & receptionist - orewa,"['healthcare', 'dentistry']","[22, 106]"
dental assistant - christchurch city,"['healthcare', 'dentistry']","[22, 106]"
"dental assistant - dentalone, remuera","['healthcare', 'dentistry']","[22, 106]"
"dental assistant - far north (0.91 fte, fixed","['healthcare', 'dentistry']","[22, 106]"
dental assistant - hospital dental service,"['healthcare', 'dentistry']","[22, 106]"
dental assistant - invercargill (casual),"['healthcare', 'dentistry']","[22, 106]"
dental assistant - kerikeri dental (fixed term),"['healthcare', 'dentistry']","[22, 106]"
dental assistant - lower hutt - parental leave,"['healthcare', 'dentistry']","[22, 106]"
dental assistant - maternity leave - dunedin,"['healthcare', 'dentistry']","[22, 106]"
dental assistant - mobile bus (auckland central),"['healthcare', 'dentistry']","[22, 106]"
dental assistant - parental leave cover - auckland,"['healthcare', 'dentistry']","[22, 106]"
dental assistant - receptionist,"['healthcare', 'dentistry']","[22, 106]"
dental assistant -part time permanent,"['healthcare', 'dentistry']","[22, 106]"
dental assistant / receptionist - kaitaia (casual),"['healthcare', 'dentistry']","[22, 106]"
"dental assistant / receptionist - the terrace, wel","['healthcare', 'dentistry']","[22, 106]"
dental assistant part time dunedin,"['healthcare', 'dentistry']","[22, 106]"
dental assistant rotorua,"['healthcare', 'dentistry']","[22, 106]"
"dental assistant | palmerston north, new zealand","['healthcare', 'dentistry']","[22, 106]"
"dental assistant | st heliers, auckland","['healthcare', 'dentistry']","[22, 106]"
"dental assistant, casual","['healthcare', 'dentistry']","[22, 106]"
"dental assistant, n3","['healthcare', 'dentistry']","[22, 106]"
"dental assistant, school dental 0.8 fte","['healthcare', 'dentistry']","[22, 106]"
dental assistant/ receptionist,"['healthcare', 'dentistry']","[22, 106]"
dental assistant/call centre administrator,"['healthcare', 'dentistry']","[22, 106]"
"dental assistants - ponsonby, auckland","['healthcare', 'dentistry']","[22, 106]"
dental chair side assistant - mid north area,"['healthcare', 'dentistry']","[22, 106]"
dental office administrator / receptionist,"['healthcare', 'dentistry']","[22, 106]"
"dental or oral health therapist, n2","['healthcare', 'dentistry']","[22, 106]"
dental receptionist,"['healthcare', 'dentistry']","[22, 106]"
dental receptionist / assistants,"['healthcare', 'dentistry']","[22, 106]"
dental surgery assistant,"['healthcare', 'dentistry']","[22, 106]"
dental technician or dental lab process worker,"['healthcare', 'dentistry']","[22, 106]"
"dental therapist or oral health therapist, s1","['healthcare', 'dentistry']","[22, 106]"
dental therapist/oral health therapist,"['healthcare', 'dentistry']","[22, 106]"
dental/oral health therapist,"['healthcare', 'dentistry']","[22, 106]"
"dental/oral health therapist, central team 1","['healthcare', 'dentistry']","[22, 106]"
dentist,"['healthcare', 'dentistry']","[22, 106]"
dentist - west coast greymouth family dental -,"['healthcare', 'dentistry']","[22, 106]"
dentist and dental assistant,"['healthcare', 'dentistry']","[22, 106]"
"dentist | hamilton, waikato","['healthcare', 'dentistry']","[22, 106]"
"dentist | st albans, christchurch","['healthcare', 'dentistry']","[22, 106]"
department manager,"['retail', 'department managers']","[71, 142]"
department manager - hamilton,"['retail', 'department managers']","[71, 142]"
department manager water services - gisborne,"['government & council', 'local & regional council']","[37, 109]"
"department managers, shift supervisors & crew","['hospitality & tourism', 'management']","[14, 39]"
department team leader required - dunedin,"['retail', 'department managers']","[71, 142]"
deployment engineer (sccm),"['it', 'systems engineers']","[2, 124]"
deployment specialist,"['it', 'systems engineers']","[2, 124]"
depot manager - invercargill,"['transport & logistics', 'operations']","[28, 29]"
depot manager - rotorua,"['manufacturing & operations', 'management']","[20, 39]"
depot manager - wellington,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
depot operations assistant,"['transport & logistics', 'operations']","[28, 29]"
deputy charge sonographer,"['healthcare', 'radiography & sonography']","[22, 153]"
"deputy chief executive, health","['government & council', 'central government']","[37, 38]"
deputy general manager/functions manager,"['hospitality & tourism', 'management']","[14, 39]"
design assistant,"['marketing, media & communications', 'marketing assistants & coordinators']","[40, 78]"
design engineer,"['engineering', 'civil & structural', 'mechanical']","[47, 103, 123]"
design engineer (fixed term contract),"['it', 'programming & development']","[2, 65]"
design lead (auckland),"['architecture', 'architects']","[16, 17]"
"design lead - health, safety and wellbeing","['hr & recruitment', 'health & safety']","[76, 32]"
design manager,"['architecture', 'architects', 'construction & roading', 'project & contracts management', 'engineering', 'drafting']","[16, 17, 8, 101, 47, 121]"
design manager - building services,"['engineering', 'building services']","[47, 90]"
"design manager, user platforms","['it', 'web design']","[2, 168]"
design planner (substations),"['engineering', 'electrical']","[47, 13]"
designer,"['architecture', 'interior design']","[16, 126]"
desktop engineer,"['it', 'service desk']","[2, 45]"
desktop publisher/graphic designer,"['marketing, media & communications', 'design']","[40, 186]"
desktop support - senior technician,"['it', 'service desk']","[2, 45]"
despatch,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
"despatch assistant, warehouse store person","['transport & logistics', 'warehouse & distribution']","[28, 81]"
despatch coordinator,"['transport & logistics', 'warehouse & distribution', 'supply chain & planning']","[28, 81, 140]"
despatch manager,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
despatch reach operator,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
despatcher,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
despatchers x 3,"['transport & logistics', 'operations']","[28, 29]"
destination great lake taupo - board members,"['government & council', 'local & regional council']","[37, 109]"
detailer - frame & truss,"['construction & roading', 'quantity surveying']","[8, 91]"
detailer - frame & truss - napier,"['construction & roading', 'quantity surveying']","[8, 91]"
detailer - frame and truss,"['trades & services', 'building & carpentry']","[0, 33]"
detailer - frame and truss christchurch,"['trades & services', 'building & carpentry']","[0, 33]"
devanner labourers,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
devanner/container loading and unloading,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
devanners,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
devanners - hornby location,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
devanners / labourers,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
devanners / labourers - warehouse,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
devanners/general hand,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
devanners/pick packing,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
devanning - fulltime position,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
developer,"['it', 'programming & development']","[2, 65]"
"developer analyst, pace","['it', 'programming & development']","[2, 65]"
developer c# asp.net blazor,"['it', 'programming & development']","[2, 65]"
developer – data and analytics,"['it', 'programming & development']","[2, 65]"
developer – data warehouse,"['it', 'programming & development']","[2, 65]"
developer/ engineer,"['it', 'programming & development']","[2, 65]"
developer/dba,"['it', 'programming & development']","[2, 65]"
developing foreperson,"['construction & roading', 'supervisors & forepersons']","[8, 70]"
development & integration manager,"['it', 'management']","[2, 39]"
development lead - tradevine,"['it', 'management']","[2, 39]"
development manager,"['accounting', 'accountants', 'management accountants']","[10, 11, 42]"
development practice lead,"['it', 'management']","[2, 39]"
developmental coordinator - child health services,"['healthcare', 'community & social services']","[22, 27]"
developmental psychologist,"['healthcare', 'psychology & counselling']","[22, 49]"
devops administrator,"['it', 'systems engineers']","[2, 124]"
devops engineer,"['it', 'programming & development', 'systems engineers']","[2, 65, 124]"
devops engineer (identity/forgerock),['science & technology'],[97]
devops engineer - azure,"['it', 'systems engineers']","[2, 124]"
devops manager,"['it', 'management']","[2, 39]"
devops platform engineer environments,"['it', 'programming & development']","[2, 65]"
devops release engineer,"['it', 'programming & development']","[2, 65]"
diagnostic radiologist,"['healthcare', 'doctors & specialists']","[22, 111]"
diesel / petrol mechanic,"['automotive', 'diesel mechanic']","[59, 98]"
diesel and agricultual mechanic,"['automotive', 'diesel mechanic']","[59, 98]"
diesel machanic / machine operator,"['construction & roading', 'machine operators']","[8, 9]"
diesel mechanic,"['trades & services', 'technicians', 'automotive', 'automotive technician', 'diesel mechanic', 'engineering', 'mechanical']","[0, 6, 59, 60, 98, 47, 123]"
diesel mechanic (otago),"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic - porirua,"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic - trucks - senior role - tauranga,"['automotive', 'automotive technician']","[59, 60]"
diesel mechanic - whakatane,"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic / field service technician,"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic / marine engineer,"['engineering', 'mechanical']","[47, 123]"
diesel mechanic / workshop manager,"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic for truck company,"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic opportunity - dunedin based,"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic trucks,"['automotive', 'diesel mechanic']","[59, 98]"
"diesel mechanic, palmerston north","['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic. electrician & apprentice apply,"['automotive', 'diesel mechanic']","[59, 98]"
diesel mechanic/workshop handy man,"['automotive', 'diesel mechanic']","[59, 98]"
diesel technician,"['automotive', 'diesel mechanic']","[59, 98]"
diesel technician heavy transport,"['automotive', 'diesel mechanic']","[59, 98]"
diesel technician/electrici - trucks,"['automotive', 'diesel mechanic']","[59, 98]"
dietitian,"['healthcare', 'community & social services']","[22, 27]"
dietitian - diabetes,"['healthcare', 'community & social services']","[22, 27]"
"dietitian - surgical and icu (1.0fte, fixed term)","['healthcare', 'community & social services']","[22, 27]"
dietitian / matanga matai kai (adult outpatients),"['healthcare', 'community & social services']","[22, 27]"
dietitian 1.0fte (fixed term parental leave),"['healthcare', 'community & social services']","[22, 27]"
"dietitian- tupu ora, regional eating disorders","['healthcare', 'community & social services']","[22, 27]"
digger and equipment operators,"['construction & roading', 'machine operators']","[8, 9]"
digger driver,"['trades & services', 'labourers']","[0, 1]"
"digger drivers come and join us, read on.","['construction & roading', 'machine operators']","[8, 9]"
digger operator,"['construction & roading', 'machine operators', 'manufacturing & operations', 'process & assembly', 'trades & services', 'plumbing']","[8, 9, 20, 36, 0, 114]"
digger operator (5 -14 ton),"['agriculture, fishing & forestry', 'forestry']","[34, 145]"
digger operator - auckland,"['construction & roading', 'machine operators']","[8, 9]"
digger operator - immediate start!,"['construction & roading', 'machine operators']","[8, 9]"
digger operator / builder hammerhand,"['trades & services', 'building & carpentry']","[0, 33]"
digger operator / class 4/5 truck driver,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
digger operator / excavator truck driver,"['construction & roading', 'machine operators']","[8, 9]"
digger operator / labourer,"['construction & roading', 'machine operators']","[8, 9]"
digger operator / landscaper,"['trades & services', 'gardening & landscaping']","[0, 104]"
digger operator needed - nelson,"['transport & logistics', 'drivers & couriers', 'truck ht']","[28, 43, 44]"
digger operator required - auckland,"['construction & roading', 'machine operators']","[8, 9]"
digger operator wanted - immediate start,"['construction & roading', 'machine operators']","[8, 9]"
digger operators,"['construction & roading', 'machine operators']","[8, 9]"
digger operators - skilled labourers,"['construction & roading', 'machine operators']","[8, 9]"
digger operators -asap start,"['construction & roading', 'machine operators']","[8, 9]"
digger operators wanted - immediate start,"['construction & roading', 'machine operators']","[8, 9]"
digger operators- manawatu is calling you home!,"['construction & roading', 'machine operators']","[8, 9]"
digger/excavator operator wanted x 5,"['construction & roading', 'machine operators']","[8, 9]"
digital & marketing coordinator - new zealand,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital ad operations campaign manager,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital analyst,"['it', 'business & systems analysts']","[2, 7]"
digital architect,"['it', 'architects']","[2, 17]"
digital business analyst,"['it', 'business & systems analysts', 'marketing, media & communications', 'digital marketing']","[2, 7, 40, 41]"
digital campaign manager,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital campaign manager - auckland,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital content specialist,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital content writer,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital designer,"['it', 'web design']","[2, 168]"
digital designer - building structures,"['it', 'web design']","[2, 168]"
digital director,"['it', 'programming & development']","[2, 65]"
digital engineering intern,"['it', 'programming & development']","[2, 65]"
digital engineering manager,"['it', 'management']","[2, 39]"
digital engineering specialist,"['it', 'programming & development']","[2, 65]"
digital experience analyst,"['it', 'business & systems analysts']","[2, 7]"
digital insights analyst,"['marketing, media & communications', 'market research & analysis']","[40, 162]"
digital learning consultant,"['it', 'web design']","[2, 168]"
digital marketer - customer experience,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital marketing & retention specialist,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital marketing assistant,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital marketing coordinator,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital marketing executive,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital marketing lead,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital marketing manager,"['marketing, media & communications', 'digital marketing', 'communications & pr']","[40, 41, 79]"
digital marketing manager (senior),"['marketing, media & communications', 'communications & pr']","[40, 79]"
digital marketing specialist,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital performance analyst,"['it', 'business & systems analysts']","[2, 7]"
digital platforms team lead,"['it', 'programming & development']","[2, 65]"
digital print finishing expert,"['manufacturing & operations', 'process & assembly']","[20, 36]"
digital producer / project manager,"['it', 'project management']","[2, 48]"
digital product designer,"['it', 'web design']","[2, 168]"
digital product owner - fixed term,"['it', 'project management']","[2, 48]"
digital project manager,"['it', 'project management']","[2, 48]"
digital recruitment marketing manager,"['hr & recruitment', 'recruitment']","[76, 88]"
digital senior business analyst,"['it', 'business & systems analysts']","[2, 7]"
digital solution architect,"['it', 'architects']","[2, 17]"
digital solutions specialist- customer delivery,"['it', 'programming & development']","[2, 65]"
digital specialist,"['marketing, media & communications', 'digital marketing']","[40, 41]"
digital sports producer,"['it', 'project management']","[2, 48]"
digital strategist,"['it', 'web design']","[2, 168]"
digital technology teacher,"['education', 'secondary']","[4, 132]"
digital workplace engineer,"['it', 'programming & development']","[2, 65]"
"dilworth hearing - marketing manager, takapuna","['marketing, media & communications', 'management']","[40, 39]"
direct marketer,"['marketing, media & communications', 'direct marketing']","[40, 190]"
direct sales consultant,"['sales', 'telesales']","[57, 158]"
directional drill operator,"['construction & roading', 'machine operators']","[8, 9]"
directional drill operator/locator,"['construction & roading', 'machine operators']","[8, 9]"
directional drill operators,"['construction & roading', 'machine operators']","[8, 9]"
directional driller,"['construction & roading', 'machine operators']","[8, 9]"
director customer experience,"['it', 'project management']","[2, 48]"
director of architecture,"['it', 'management']","[2, 39]"
director of emergency medicine training,"['healthcare', 'doctors & specialists']","[22, 111]"
director of finance,"['accounting', 'finance managers & controllers']","[10, 128]"
director of food and beverage,"['hospitality & tourism', 'chefs']","[14, 15]"
director of marketing - nz,"['marketing, media & communications', 'management']","[40, 39]"
director pacific health,"['healthcare', 'management']","[22, 39]"
director's personal assistant,"['automotive', 'sales, operations & parts']","[59, 74]"
"director, account management","['it', 'management']","[2, 39]"
"director, finance and corporate services","['accounting', 'finance managers & controllers']","[10, 128]"
"director, northland bridge","['healthcare', 'management']","[22, 39]"
"director, people & culture","['hr & recruitment', 'hr']","[76, 77]"
disability support worker - must also love dogs,"['healthcare', 'caregiving']","[22, 23]"
disability support workers,"['healthcare', 'caregiving']","[22, 23]"
dish-hand/kitchen assistant. black betty cafe,"['hospitality & tourism', 'chefs']","[14, 15]"
dispatch,"['manufacturing & operations', 'process & assembly']","[20, 36]"
dispatch / delivery person,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
dispatch administrator,"['office & administration', 'administration', 'transport & logistics', 'warehouse & distribution']","[30, 31, 28, 81]"
dispatch and factory administrator,"['manufacturing & operations', 'purchasing & inventory']","[20, 181]"
dispatch and iwg forklifter,"['retail', 'retail assistants']","[71, 72]"
dispatch assistant,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
dispatch coordinator,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
dispatch loader - christchurch (pm shift),"['transport & logistics', 'warehouse & distribution']","[28, 81]"
dispatch loaders - needed today! - east tamaki,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
dispatch manager - hamilton,"['transport & logistics', 'supply chain & planning']","[28, 140]"
dispatch service coordinator - full time,"['customer service', 'call centre']","[54, 55]"
dispatch supervisor,"['manufacturing & operations', 'supervisors & forepersons']","[20, 70]"
dispatch team member - mt wellington,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
dispatch team member for busy joinery factory,"['manufacturing & operations', 'storepersons & warehousing']","[20, 64]"
dispatch/ sales professional,"['retail', 'retail assistants']","[71, 72]"
dispatch/stock controller,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
dispatcher,"['transport & logistics', 'operations', 'manufacturing & operations', 'storepersons & warehousing']","[28, 29, 20, 64]"
dispatcher - christchurch,"['manufacturing & operations', 'fitters & machining']","[20, 170]"
dispatcher -linehaul and local,"['transport & logistics', 'supply chain & planning']","[28, 140]"
dispensary manager,"['healthcare', 'pharmacy']","[22, 25]"
dispensary technician,"['healthcare', 'pharmacy']","[22, 25]"
dispensary technician - chemist warehouse the base,"['healthcare', 'pharmacy']","[22, 25]"
dispensary technician - cwh sylvia park,"['healthcare', 'pharmacy']","[22, 25]"
dispensary technician - cwh westfield newmarket,"['healthcare', 'pharmacy']","[22, 25]"
dispensary technician - full time - st lukes,"['healthcare', 'pharmacy']","[22, 25]"
dispensing technician - dunedin,"['healthcare', 'pharmacy']","[22, 25]"
distributed energy resource engineer - invercargil,"['engineering', 'energy']","[47, 193]"
distribution administrator,"['office & administration', 'administration']","[30, 31]"
distribution centre storeperson - christchurch,"['transport & logistics', 'warehouse & distribution']","[28, 81]"
